full_name,YBC,YBC_per_att,YAC,YAC_per_att,BrkTkl,att_per_bt
Derrick Henry,567,1.9,973,3.2,29,10.4
Ezekiel Elliott,674,2.2,683,2.3,24,12.5
Nick Chubb,598,2,896,3,32,9.3
Christian McCaffrey,868,3,519,1.8,16,17.9
Chris Carson,486,1.7,744,2.7,28,9.9
Joe Mixon,488,1.8,649,2.3,24,11.6
Leonard Fournette,346,1.3,806,3,16,16.6
Dalvin Cook,525,2.1,610,2.4,20,12.5
Marlon Mack,585,2.4,506,2,12,20.6
Sony Michel,517,2.1,395,1.6,16,15.4
Le'Veon Bell,278,1.1,511,2.1,16,15.3
Carlos Hyde,519,2.1,551,2.2,22,11.1
Josh Jacobs,464,1.9,686,2.8,26,9.3
David Montgomery,490,2,399,1.6,28,8.6
Aaron Jones,563,2.4,521,2.2,32,7.4
Phillip Lindsay,595,2.7,416,1.9,29,7.7
Todd Gurley,468,2.1,389,1.7,21,10.6
Saquon Barkley,394,1.8,609,2.8,16,13.6
Adrian Peterson,369,1.7,529,2.5,7,30.1
Mark Ingram,489,2.4,529,2.6,18,11.2
Devonta Freeman,360,2,296,1.6,11,16.7
Miles Sanders,442,2.5,376,2.1,16,11.2
Ronald Jones,303,1.8,421,2.4,23,7.5
Alvin Kamara,391,2.3,406,2.4,29,5.9
Kenyan Drake,474,2.8,343,2,12,14.2
Frank Gore,252,1.5,347,2.1,10,16.6
Melvin Gordon,308,1.9,304,1.9,8,20.3
Peyton Barber,199,1.3,271,1.8,8,19.3
Devin Singletary,410,2.7,365,2.4,20,7.6
Latavius Murray,384,2.6,253,1.7,11,13.3
Tevin Coleman,341,2.5,203,1.5,5,27.4
Raheem Mostert,475,3.5,297,2.2,12,11.4
Gus Edwards,335,2.5,376,2.8,7,19
Austin Ekeler,232,1.8,325,2.5,12,11
Royce Freeman,242,1.8,254,1.9,8,16.5
Matt Breida,402,3.3,221,1.8,8,15.4
Jordan Howard,242,2,283,2.4,4,29.8
James Conner,196,1.7,268,2.3,5,23.2
Kerryon Johnson,168,1.5,235,2.1,8,14.1
Damien Williams,135,1.2,363,3.3,15,7.4
Benny Snell,118,1.1,308,2.9,7,15.4
DeAndre Washington,183,1.7,204,1.9,5,21.6
Jamaal Williams,269,2.5,191,1.8,5,21.4
LeSean McCoy,262,2.6,203,2,5,20.2
Alexander Mattison,267,2.7,195,2,11,9.1
David Johnson,175,1.9,170,1.8,6,15.7
Bo Scarbrough,183,2.1,194,2.2,5,17.8
Tony Pollard,146,1.7,309,3.6,10,8.6
Duke Johnson,169,2,241,2.9,8,10.4
Brian Hill,155,2,168,2.2,3,26
Kalen Ballage,47,0.6,88,1.2,1,74
Malcolm Brown,105,1.5,150,2.2,10,6.9
James White,159,2.4,104,1.6,3,22.3
Jaylen Samuels,49,0.7,126,1.9,3,22
Rex Burkhead,154,2.4,148,2.3,6,10.8
Rashaad Penny,182,2.8,188,2.9,5,13
Tarik Cohen,131,2,82,1.3,6,10.7
Ty Johnson,114,1.8,159,2.5,5,12.6
Patrick Laird,85,1.4,83,1.3,5,12.4
Boston Scott,136,2.2,109,1.8,2,30.5
Chase Edmonds,180,3,123,2.1,4,15
Bilal Powell,79,1.3,150,2.5,4,14.8
Justice Hill,125,2.2,100,1.7,3,19.3
Dion Lewis,82,1.5,127,2.4,7,7.7
Giovani Bernard,64,1.2,106,2,6,8.8
Mark Walton,88,1.7,113,2.1,1,53
Nyheim Hines,118,2.3,81,1.6,2,26
Jordan Wilkins,140,2.7,167,3.3,4,12.8
Mike Boone,93,1.9,180,3.7,2,24.5
Jonathan Williams,101,2.1,134,2.7,7,7
Kareem Hunt,65,1.5,114,2.7,4,10.8
Derrius Guice,49,1.2,196,4.7,3,14
Darrel Williams,81,2,60,1.5,1,41
Darrell Henderson,84,2.2,63,1.6,7,5.6
J.D. McKissic,109,2.9,96,2.5,3,12.7
Chris Thompson,74,2,64,1.7,2,18.5
Darwin Thompson,52,1.4,76,2.1,4,9.3
Ryquell Armstead,18,0.5,90,2.6,2,17.5
Justin Jackson,99,3.4,101,3.5,4,7.3
Kerrith Whyte,47,2,75,3.1,1,24
Ameer Abdullah,77,3.3,38,1.7,2,11.5
C.J. Prosise,39,1.7,33,1.4,1,23
Wendell Smallwood,47,2.1,34,1.5,1,22
Ito Smith,68,3.1,38,1.7,2,11
Spencer Ware,21,1.2,30,1.8,2,8.5
T.J. Yeldon,15,0.9,48,2.8,4,4.3
C.J. Anderson,6,0.4,37,2.3,1,16
Brandon Bolden,46,3.1,22,1.5,2,7.5
Elijhaa Penny,16,1.1,23,1.5,1,15
Dwayne Washington,9,1.1,51,6.4,2,4
Samaje Perine,11,2.2,5,1,1,5
Kenjon Barner,22,5.5,6,1.5,0,
D'Ernest Johnson,18,4.5,3,0.8,0,
Anthony Sherman,9,2.3,0,0,0,
Josh Ferguson,9,3,0,0,0,
John Kelly,5,1.7,4,1.3,0,
T.J. Logan,6,2,4,1.3,0,
Zach Zenner,-2,-0.7,0,0,0,
Tyler Ervin,3,3,7,7,1,1
Alfred Morris,2,2,2,2,0,
