Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,PAtt,PYds,PTD,Int,RushAtt,RushYds,RushTD,Rec,RecYds,RecTD,Solo,Int,Sk,College/Univ
1,1,TAM,Jameis Winston,QB,21,2019,0,1,5,54,54,72,1563,2548,19737,121,88,248,1044,10,0,0,0,,,,Florida St.
1,2,TEN,Marcus Mariota,QB,21,2019,0,0,4,44,44,63,1110,1765,13207,76,44,242,1399,11,2,62,1,,,,Oregon
1,3,JAX,Dante Fowler,OLB,21,2019,0,0,1,16,6,63,0,0,0,0,0,0,0,0,0,0,0,104,,27.5,Florida
1,4,OAK,Amari Cooper,WR,21,2019,0,4,5,39,24,77,0,0,0,0,0,8,27,0,357,5097,33,,,,Alabama
1,5,WAS,Brandon Scherff,T,23,2019,0,3,5,33,33,65,0,0,0,0,0,0,0,0,0,0,0,,,,Iowa
1,6,NYJ,Leonard Williams,DE,21,2019,0,1,4,38,35,79,0,0,0,0,0,0,0,0,0,0,0,135,1,17.5,USC
1,7,CHI,Kevin White,WR,23,2018,0,0,0,2,2,14,0,0,0,0,0,1,9,0,25,285,0,,,,West Virginia
1,8,ATL,Vic Beasley,OLB,23,2019,1,1,5,32,32,78,0,0,0,0,0,0,0,0,0,0,0,119,1,37.5,Clemson
1,9,NYG,Ereck Flowers,T,21,2019,0,0,4,28,20,75,0,0,0,0,0,0,0,0,1,-11,0,,,,Miami (FL)
1,10,STL,Todd Gurley,RB,21,2019,2,3,5,50,50,73,0,0,0,0,0,1265,5404,58,218,2090,12,,,,Georgia
1,11,MIN,Trae Waynes,CB,23,2019,0,0,3,18,18,74,0,0,0,0,0,0,0,0,0,0,0,215,7,1,Michigan St.
1,12,CLE,Danny Shelton,NT,22,2019,0,0,4,29,15,75,0,0,0,0,0,0,0,0,0,0,0,111,,4.5,Washington
1,13,NOR,Andrus Peat,T,21,2019,0,2,4,39,39,65,0,0,0,0,0,0,0,0,0,0,0,,,,Stanford
1,14,MIA,DeVante Parker,WR,22,2019,0,0,3,23,23,70,0,0,0,0,0,0,0,0,235,3419,18,,,,Louisville
1,15,SDG,Melvin Gordon,RB,22,2019,0,2,5,39,39,67,0,0,0,0,0,1059,4240,36,224,1873,11,,,,Wisconsin
1,16,HOU,Kevin Johnson,CB,23,2019,0,0,0,10,9,51,0,0,0,0,0,0,0,0,0,0,0,129,1,1,Wake Forest
1,17,SFO,Arik Armstead,DT,21,2019,0,0,2,20,20,62,0,0,0,0,0,0,0,0,0,0,0,96,,19,Oregon
1,18,KAN,Marcus Peters,CB,22,2019,2,3,5,52,26,77,0,0,0,0,0,0,0,0,0,0,0,203,27,,Washington
1,19,CLE,Cameron Erving,C,23,2019,0,0,3,20,6,69,0,0,0,0,0,0,0,0,0,0,0,,,,Florida St.
1,20,PHI,Nelson Agholor,WR,22,2019,0,0,5,21,21,71,1,1,15,0,0,11,60,0,224,2515,18,,,,USC
1,21,CIN,Cedric Ogbuehi,T,23,2019,0,0,2,14,13,49,0,0,0,0,0,0,0,0,0,0,0,,,,Texas A&M
1,22,PIT,Bud Dupree,OLB,22,2019,0,0,3,27,27,70,0,0,0,0,0,0,0,0,0,0,0,146,1,31.5,Kentucky
1,23,DEN,Shane Ray,DE,22,2018,0,0,1,12,12,49,0,0,0,0,0,0,0,0,0,0,0,64,,14,Missouri
1,24,ARI,D.J. Humphries,T,21,2019,0,0,3,20,20,43,0,0,0,0,0,0,0,0,0,0,0,,,,Florida
1,25,CAR,Shaq Thompson,OLB,21,2019,0,0,5,25,25,70,0,0,0,0,0,0,0,0,0,0,0,238,1,9.5,Washington
1,26,BAL,Breshad Perriman,WR,21,2019,0,0,0,11,4,51,0,0,0,0,0,7,20,0,95,1561,11,,,,Central Florida
1,27,DAL,Byron Jones,CB,22,2019,0,1,4,30,30,79,0,0,0,0,0,0,0,0,0,0,0,268,2,,Connecticut
1,28,DET,Laken Tomlinson,G,23,2019,0,0,5,32,10,79,0,0,0,0,0,0,0,0,0,0,0,,,,Duke
1,29,IND,Phillip Dorsett,WR,22,2019,0,0,0,14,7,71,0,0,0,0,0,13,84,0,124,1634,11,,,,Miami (FL)
1,30,GNB,Damarious Randall,S,23,2019,0,0,3,21,12,65,0,0,0,0,0,0,0,0,0,0,0,243,14,2.5,Arizona St.
1,31,NOR,Stephone Anthony,ILB,23,2019,0,0,1,10,9,62,0,0,0,0,0,0,0,0,0,0,0,97,1,1,Clemson
1,32,NWE,Malcom Brown,DT,21,2019,0,0,5,33,27,76,0,0,0,0,0,0,0,0,0,0,0,121,,10.5,Texas
2,33,NYG,Landon Collins,S,21,2019,1,3,5,33,29,74,0,0,0,0,0,0,0,0,0,0,0,407,8,5,Alabama
2,34,TAM,Donovan Smith,T,22,2019,0,0,5,39,39,79,0,0,0,0,0,0,0,0,0,0,0,,,,Penn St.
2,35,OAK,Mario Edwards,DT,21,2019,0,0,2,13,11,59,0,0,0,0,0,0,0,0,0,0,0,71,,10.5,Florida St.
2,36,JAX,T.J. Yeldon,RB,21,2019,0,0,2,20,19,57,0,0,0,0,0,482,1935,6,184,1426,6,,,,Alabama
2,37,NYJ,Devin Smith,WR,23,2019,0,0,0,2,1,18,0,0,0,0,0,0,0,0,15,248,2,3,,,Ohio St.
2,38,WAS,Preston Smith,DE,22,2019,0,0,4,32,23,80,0,0,0,0,0,0,0,0,0,0,0,143,5,36.5,Mississippi St.
2,39,CHI,Eddie Goldman,DT,21,2019,0,0,4,30,30,67,0,0,0,0,0,0,0,0,0,0,0,102,,12.5,Florida St.
2,40,TEN,Dorial Green-Beckham,WR,22,2016,0,0,0,7,4,31,0,0,0,0,0,0,0,0,68,941,6,,,,Oklahoma
2,41,CAR,Devin Funchess,TE,21,2019,0,0,2,20,20,62,0,0,0,0,0,0,0,0,164,2265,21,,,,Michigan
2,42,ATL,Jalen Collins,CB,22,2016,0,0,0,3,3,24,0,0,0,0,0,0,0,0,0,0,0,45,2,,LSU
2,43,HOU,Benardrick McKinney,ILB,22,2019,0,1,5,40,40,76,0,0,0,0,0,0,0,0,0,0,0,295,1,11.5,Mississippi St.
2,44,NOR,Hau'oli Kikaha,OLB,23,2017,0,0,1,5,5,27,0,0,0,0,0,0,0,0,0,0,0,39,,8,Washington
2,45,MIN,Eric Kendricks,ILB,23,2019,1,1,5,42,42,74,0,0,0,0,0,0,0,0,0,0,0,342,4,9,UCLA
2,46,SFO,Jaquiski Tartt,S,23,2019,0,0,2,16,16,59,0,0,0,0,0,0,0,0,0,0,0,200,3,4,Samford
2,47,PHI,Eric Rowe,CB,22,2019,0,0,1,10,2,53,0,0,0,0,0,0,0,0,0,0,0,121,3,,Utah
2,48,SDG,Denzel Perryman,ILB,22,2019,0,0,4,21,21,56,0,0,0,0,0,0,0,0,0,0,0,225,3,4,Miami (FL)
2,49,KAN,Mitch Morse,G,23,2019,0,0,4,28,23,65,0,0,0,0,0,0,0,0,0,0,0,,,,Missouri
2,50,BUF,Ronald Darby,CB,21,2019,0,0,4,20,10,57,0,0,0,0,0,0,0,0,0,0,0,224,8,,Florida St.
2,51,CLE,Nate Orchard,DE,22,2019,0,0,1,10,9,43,0,0,0,0,0,0,0,0,0,0,0,51,1,6,Utah
2,52,MIA,Jordan Phillips,NT,22,2019,0,0,3,21,12,76,0,0,0,0,0,0,0,0,0,0,0,77,1,15,Oklahoma
2,53,CIN,Jake Fisher,T,22,2018,0,0,0,6,6,48,0,0,0,0,0,0,0,0,2,43,0,,,,Oregon
2,54,DET,Ameer Abdullah,RB,22,2019,0,0,2,12,11,58,0,0,0,0,0,350,1366,6,73,518,4,1,,,Nebraska
2,55,BAL,Maxx Williams,TE,21,2019,0,0,1,6,4,58,0,0,0,0,0,5,14,0,78,699,4,4,,,Minnesota
2,56,PIT,Senquez Golson,CB,22,,0,0,0,,,,,,,,,,,,,,,,,,Mississippi
2,57,STL,Rob Havenstein,T,23,2019,0,0,5,32,32,68,0,0,0,0,0,0,0,0,0,0,0,,,,Wisconsin
2,58,ARI,Markus Golden,DE,24,2019,0,0,2,21,13,62,0,0,0,0,0,0,0,0,0,0,0,134,,29,Missouri
2,59,DEN,Ty Sambrailo,T,23,2019,0,0,0,8,3,57,0,0,0,0,0,0,0,0,1,35,1,,,,Colorado St.
2,60,DAL,Randy Gregory,OLB,22,2018,0,0,0,5,5,28,0,0,0,0,0,0,0,0,0,0,0,34,,7,Nebraska
2,61,TAM,Ali Marpet,C,22,2019,0,0,5,32,32,72,0,0,0,0,0,0,0,0,0,0,0,,,,Hobart
2,62,GNB,Quinten Rollins,CB,23,2017,0,0,0,7,7,33,0,0,0,0,0,0,0,0,0,0,0,76,3,1,Miami (OH)
2,63,SEA,Frank Clark,DE,22,2019,0,1,3,30,21,76,0,0,0,0,0,0,0,0,0,0,0,119,2,43,Michigan
2,64,NWE,Jordan Richards,S,22,2019,0,0,1,9,6,68,0,0,0,0,0,0,0,0,0,0,0,68,,,Stanford
3,65,IND,D'Joun Smith,CB,22,2016,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,,,Florida Atlantic
3,66,TEN,Jeremiah Poutasi,G,21,2016,0,0,0,4,4,12,0,0,0,0,0,0,0,0,0,0,0,,,,Utah
3,67,JAX,A.J. Cann,G,23,2019,0,0,5,28,28,76,0,0,0,0,0,0,0,0,0,0,0,,,,South Carolina
3,68,OAK,Clive Walford,TE,23,2019,0,0,0,7,7,52,0,0,0,0,0,0,4,0,74,825,6,,,,Miami (FL)
3,69,SEA,Tyler Lockett,WR,22,2019,1,1,4,37,37,79,0,0,0,0,0,38,256,1,276,3838,27,1,,,Kansas St.
3,70,HOU,Jaelen Strong,WR,21,2017,0,0,0,2,2,20,0,0,0,0,0,0,0,0,31,330,4,,,,Arizona St.
3,71,CHI,Hroniss Grasu,C,24,2019,0,0,1,7,6,18,0,0,0,0,0,0,0,0,0,2,0,,,,Oregon
3,72,STL,Jamon Brown,T,22,2019,0,0,3,20,13,60,0,0,0,0,0,0,0,0,0,0,0,,,,Louisville
3,73,ATL,Tevin Coleman,RB,22,2019,0,0,2,30,25,70,0,0,0,0,0,665,2884,24,113,1190,12,,,,Indiana
3,74,NYG,Owamagbe Odighizuwa,DE,23,2016,0,0,0,1,1,18,0,0,0,0,0,0,0,0,0,0,0,4,,,UCLA
3,75,NOR,Garrett Grayson,QB,24,2015,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,Colorado St.
3,76,KAN,Chris Conley,WR,22,2019,0,0,3,18,12,69,0,0,0,0,0,0,0,0,151,2013,11,4,,,Georgia
3,77,CLE,Duke Johnson,RB,21,2019,0,0,0,25,18,80,0,1,0,0,0,382,1696,7,279,2580,11,2,,,Miami (FL)
3,78,NOR,P.J. Williams,CB,22,2019,0,0,0,9,9,47,0,0,0,0,0,0,0,0,0,0,0,117,4,2,Florida St.
3,79,SFO,Eli Harold,OLB,21,2018,0,0,2,12,12,61,0,0,0,0,0,0,0,0,0,0,0,65,,9,Virginia
3,80,DET,Alex Carter,CB,20,2018,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,Stanford
3,81,BUF,John Miller,G,22,2019,0,0,4,23,19,60,0,0,0,0,0,0,0,0,0,0,0,,,,Louisville
3,82,NYJ,Lorenzo Mauldin,OLB,22,2016,0,0,0,4,4,26,0,0,0,0,0,0,0,0,0,0,0,20,1,6.5,Louisville
3,83,SDG,Craig Mager,CB,23,2018,0,0,0,4,4,24,0,0,0,0,0,0,0,0,0,0,0,29,1,,Texas St.
